Gebiet Name,GEBIET_NAME-3,Indikator Jahr,Year,Benzin,Benzin Car,Benzin Car %,Diesel,Diesel Car,Diesel Car %,Elektro,Elektro Car,Elektro Car %,Hybrid,Hybrid Car,Hybrid Car %,Motorad,Motorrad Neu,Motorradp1000,neu Pw pro 1000,Other motor car,Other motor Car %,Othermotor,PW,Pw neu,Unfall pro 1000
,Aeugst a.A.,,01.01.2002,94.1,800.791,8.00791,5.8,49.358,0.49358,0.1,0.851,0.00851,0,0,0,160,10,106.5,43.9,0,0,0,851,66,
,Aeugst a.A.,,01.01.2003,93.1,815.556,8.15556,6.8,59.568,0.59568,0.1,0.876,0.00876,0,0,0,160,9,107.4,48.3,0,0,0,876,72,
,Aeugst a.A.,,01.01.2004,92.8,837.056,8.37056,7.1,64.042,0.64042,0.1,0.902,0.00902,0,0,0,166,9,107.7,42.2,0,0,0,902,65,
,Aeugst a.A.,,01.01.2005,91.9,858.346,8.58346,8,74.72,0.7472,0.1,0.934,0.00934,0,0,0,168,8,105.1,35,0,0,0,934,56,
,Aeugst a.A.,,01.01.2006,91,852.67,8.5267,8.7,81.519,0.81519,0.1,0.937,0.00937,0.1,0.937,0.00937,168,11,104.6,31.1,0,0,0,937,50,
,Aeugst a.A.,,01.01.2007,89.2,861.672,8.61672,10.8,104.328,1.04328,0,0,0,0,0,0,158,11,96.1,38.3,0,0,0,966,63,
,Aeugst a.A.,,01.01.2008,86.6,862.536,8.62536,13.3,132.468,1.32468,0,0,0,0.1,0.996,0.00996,174,12,102.3,35.9,0,0,0,996,61,
,Aeugst a.A.,,01.01.2009,84.1,850.251,8.50251,15.8,159.738,1.59738,0,0,0,0.1,1.011,0.01011,169,14,99.4,37.6,0,0,0,1011,64,
Aeugst a.A.,Aeugst a.A.,01.01.2010,01.01.2010,82.6,869.778,8.69778,17.1,180.063,1.80063,0,0,0,0.3,3.159,0.03159,183,10,105.4,34.5,0,0,0,1053,60,3.3
Aeugst a.A.,Aeugst a.A.,01.01.2011,01.01.2011,80.6,886.6,8.866,19,209,2.09,0,0,0,0.5,5.5,0.055,195,14,107,41.7,0,0,0,1100,76,6.8
Aeugst a.A.,Aeugst a.A.,01.01.2012,01.01.2012,78.7,892.458,8.92458,20.6,233.604,2.33604,0,0,0,0.7,7.938,0.07938,200,15,104.7,46,0,0,0,1134,88,4.6
Aeugst a.A.,Aeugst a.A.,01.01.2013,01.01.2013,76.6,886.262,8.86262,22.3,258.011,2.58011,0,0,0,1,11.57,0.1157,203,9,103.6,35.2,0,0,0,1157,69,5.1
Aeugst a.A.,Aeugst a.A.,01.01.2014,01.01.2014,73.9,858.718,8.58718,24.6,285.852,2.85852,0.3,3.486,0.03486,1.1,12.782,0.12782,215,13,109.1,38.6,0,0,0,1162,76,4.1
Aeugst a.A.,Aeugst a.A.,01.01.2015,01.01.2015,72.2,846.906,8.46906,26.1,306.153,3.06153,0.5,5.865,0.05865,1.1,12.903,0.12903,206,15,105.5,40,1.173,0.01173,0.1,1173,78,3
Aeugst a.A.,Aeugst a.A.,01.01.2016,01.01.2016,70.1,823.675,8.23675,27.4,321.95,3.2195,0.8,9.4,0.094,1.6,18.8,0.188,203,7,102.2,37.3,2.35,0.0235,0.2,1175,74,4.6
Aeugst a.A.,Aeugst a.A.,01.01.2017,01.01.2017,69.3,817.047,8.17047,28,330.12,3.3012,0.7,8.253,0.08253,1.7,20.043,0.20043,211,11,107.2,34,3.537,0.03537,0.3,1179,67,4.7
Aeugst a.A.,Aeugst a.A.,01.01.2018,01.01.2018,68.7,815.469,8.15469,28,332.36,3.3236,0.7,8.309,0.08309,2.5,29.675,0.29675,223,9,115.3,37.2,2.374,0.02374,0.2,1187,72,2.5
Aeugst a.A.,Aeugst a.A.,01.01.2019,01.01.2019,67.4,809.474,8.09474,28.4,341.084,3.41084,1.3,15.613,0.15613,2.8,33.628,0.33628,237,12,119.8,37.9,2.402,0.02402,0.2,1201,75,5
Aeugst a.A.,Aeugst a.A.,01.01.2020,01.01.2020,65.9,804.639,8.04639,27.8,339.438,3.39438,2.4,29.304,0.29304,3.6,43.956,0.43956,263,16,132.8,29.3,2.442,0.02442,0.2,1221,58,6
Aeugst a.A.,Aeugst a.A.,01.01.2021,01.01.2021,64.1,791.635,7.91635,26.9,332.215,3.32215,3.4,41.99,0.4199,5.4,66.69,0.6669,258,14,128.3,28.8,2.47,0.0247,0.2,1235,58,8.1
Aeugst a.A.,Aeugst a.A.,01.01.2022,01.01.2022,62.5,781.875,7.81875,25.8,322.758,3.22758,5.2,65.052,0.65052,6.2,77.562,0.77562,265,12,133.4,24.7,3.753,0.03753,0.3,1251,49,3
,Aeugst a.A.,,01.01.2023,61.2,778.464,7.78464,23.7,301.464,3.01464,7.5,95.4,0.954,7.4,94.128,0.94128,252,4,126.6,36.2,2.544,0.02544,0.2,1272,72,
,Affoltern a.A.,,01.01.2002,95.3,4525.797,45.25797,4.7,223.203,2.23203,0,0,0,0,0,0,452,23,45,34.6,0,0,0,4749,347,
,Affoltern a.A.,,01.01.2003,94.5,4513.32,45.1332,5.5,262.68,2.6268,0,0,0,0,0,0,467,39,46.1,28.2,0,0,0,4776,286,
,Affoltern a.A.,,01.01.2004,93.1,4519.074,45.19074,6.9,334.926,3.34926,0,0,0,0,0,0,499,45,48.6,28.7,0,0,0,4854,294,
,Affoltern a.A.,,01.01.2005,91.8,4465.152,44.65152,8.2,398.848,3.98848,0,0,0,0,0,0,539,28,53.2,29.7,4.864,0.04864,0.1,4864,301,
,Affoltern a.A.,,01.01.2006,89.9,4404.201,44.04201,10,489.9,4.899,0,0,0,0.1,4.899,0.04899,574,45,56.6,27.3,0,0,0,4899,277,
,Affoltern a.A.,,01.01.2007,88,4401.76,44.0176,11.8,590.236,5.90236,0,0,0,0.1,5.002,0.05002,597,47,58.3,28.5,5.002,0.05002,0.1,5002,292,
,Affoltern a.A.,,01.01.2008,86.8,4392.08,43.9208,12.8,647.68,6.4768,0,0,0,0.2,10.12,0.1012,601,36,57.9,26.4,10.12,0.1012,0.2,5060,274,
,Affoltern a.A.,,01.01.2009,85.1,4394.564,43.94564,14.5,748.78,7.4878,0,0,0,0.3,15.492,0.15492,596,35,56.1,26.1,5.164,0.05164,0.1,5164,278,
Affoltern a.A.,Affoltern a.A.,01.01.2010,01.01.2010,83.5,4433.85,44.3385,16,849.6,8.496,0,0,0,0.4,21.24,0.2124,622,46,58.1,28.5,10.62,0.1062,0.2,5310,305,9
Affoltern a.A.,Affoltern a.A.,01.01.2011,01.01.2011,81.6,4492.896,44.92896,17.9,985.574,9.85574,0,0,0,0.4,22.024,0.22024,658,60,59.5,31.5,5.506,0.05506,0.1,5506,349,8.1
Affoltern a.A.,Affoltern a.A.,01.01.2012,01.01.2012,78.6,4506.924,45.06924,20.6,1181.204,11.81204,0,0,0,0.6,34.404,0.34404,664,42,59.6,36.8,11.468,0.11468,0.2,5734,410,7.5
Affoltern a.A.,Affoltern a.A.,01.01.2013,01.01.2013,76,4419.4,44.194,23,1337.45,13.3745,0,0,0,0.7,40.705,0.40705,668,47,59.3,31.9,11.63,0.1163,0.2,5815,359,7.1
Affoltern a.A.,Affoltern a.A.,01.01.2014,01.01.2014,73.6,4326.944,43.26944,25.2,1481.508,14.81508,0.1,5.879,0.05879,0.9,52.911,0.52911,688,48,60.7,29.7,11.758,0.11758,0.2,5879,337,7.9
Affoltern a.A.,Affoltern a.A.,01.01.2015,01.01.2015,71.7,4345.737,43.45737,27,1636.47,16.3647,0.1,6.061,0.06061,1,60.61,0.6061,717,51,62.1,30.8,18.183,0.18183,0.3,6061,356,8.6
Affoltern a.A.,Affoltern a.A.,01.01.2016,01.01.2016,69.7,4247.518,42.47518,28.6,1742.884,17.42884,0.3,18.282,0.18282,1.2,73.128,0.73128,721,43,61.7,33.1,18.282,0.18282,0.3,6094,387,9.6
Affoltern a.A.,Affoltern a.A.,01.01.2017,01.01.2017,68,4183.36,41.8336,29.7,1827.144,18.27144,0.5,30.76,0.3076,1.5,92.28,0.9228,718,46,60.5,29.8,18.456,0.18456,0.3,6152,354,10.3
Affoltern a.A.,Affoltern a.A.,01.01.2018,01.01.2018,66.8,4128.908,41.28908,30.6,1891.386,18.91386,0.6,37.086,0.37086,1.8,111.258,1.11258,747,40,61.8,28.1,18.543,0.18543,0.3,6181,340,7.3
Affoltern a.A.,Affoltern a.A.,01.01.2019,01.01.2019,65.7,4075.371,40.75371,30.9,1916.727,19.16727,0.9,55.827,0.55827,2.1,130.263,1.30263,761,43,62.4,26.1,24.812,0.24812,0.4,6203,319,8.6
Affoltern a.A.,Affoltern a.A.,01.01.2020,01.01.2020,64.6,4043.314,40.43314,31,1940.29,19.4029,1.2,75.108,0.75108,2.8,175.252,1.75252,841,47,68.3,21.9,18.777,0.18777,0.3,6259,269,7.7
Affoltern a.A.,Affoltern a.A.,01.01.2021,01.01.2021,63,4013.1,40.131,30.9,1968.33,19.6833,1.6,101.92,1.0192,4.2,267.54,2.6754,872,51,71.2,21.6,19.11,0.1911,0.3,6370,264,8.6
Affoltern a.A.,Affoltern a.A.,01.01.2022,01.01.2022,61.9,3961.6,39.616,29.7,1900.8,19.008,2.7,172.8,1.728,5.4,345.6,3.456,861,36,69.7,18.8,19.2,0.192,0.3,6400,232,7.3
,Affoltern a.A.,,01.01.2023,60.3,3929.148,39.29148,28.9,1883.124,18.83124,3.7,241.092,2.41092,6.8,443.088,4.43088,849,32,67.8,22,19.548,0.19548,0.3,6516,276,
,Bonstetten,,01.01.2002,96.7,1988.152,19.88152,3.2,65.792,0.65792,0,0,0,0,0,0,278,14,70,44.6,0,0,0,2056,177,
,Bonstetten,,01.01.2003,95.5,2008.365,20.08365,4.5,94.635,0.94635,0,0,0,0,0,0,308,24,75.4,36.7,0,0,0,2103,150,
,Bonstetten,,01.01.2004,94.1,2047.616,20.47616,5.9,128.384,1.28384,0,0,0,0,0,0,321,13,77.1,33.1,0,0,0,2176,138,
,Bonstetten,,01.01.2005,92.4,2086.392,20.86392,7.5,169.35,1.6935,0,0,0,0,0,0,356,30,82.3,30.3,2.258,0.02258,0.1,2258,131,
,Bonstetten,,01.01.2006,91.3,2140.985,21.40985,8.6,201.67,2.0167,0,0,0,0.1,2.345,0.02345,378,33,84.6,33.6,2.345,0.02345,0.1,2345,150,
,Bonstetten,,01.01.2007,88.2,2090.34,20.9034,11.5,272.55,2.7255,0,0,0,0.1,2.37,0.0237,391,29,85,35.9,2.37,0.0237,0.1,2370,165,
,Bonstetten,,01.01.2008,87.3,2130.993,21.30993,12.4,302.684,3.02684,0,0,0,0.2,4.882,0.04882,410,28,85.5,33,2.441,0.02441,0.1,2441,158,
,Bonstetten,,01.01.2009,84.5,2135.315,21.35315,15,379.05,3.7905,0,0,0,0.3,7.581,0.07581,409,21,81.7,33,5.054,0.05054,0.2,2527,165,
Bonstetten,Bonstetten,01.01.2010,01.01.2010,82.4,2122.624,21.22624,16.8,432.768,4.32768,0,0,0,0.5,12.88,0.1288,412,24,80.5,30.3,7.728,0.07728,0.3,2576,155,7.2
Bonstetten,Bonstetten,01.01.2011,01.01.2011,80.8,2087.064,20.87064,18.2,470.106,4.70106,0,0,0,0.6,15.498,0.15498,394,25,76.3,39.5,10.332,0.10332,0.4,2583,204,5.4
Bonstetten,Bonstetten,01.01.2012,01.01.2012,77.3,2026.033,20.26033,21.4,560.894,5.60894,0.1,2.621,0.02621,0.9,23.589,0.23589,413,29,79.9,41.4,7.863,0.07863,0.3,2621,214,5.8
Bonstetten,Bonstetten,01.01.2013,01.01.2013,75.3,1972.107,19.72107,23.2,607.608,6.07608,0.1,2.619,0.02619,1.1,28.809,0.28809,407,26,78.4,36,7.857,0.07857,0.3,2619,187,5.7
Bonstetten,Bonstetten,01.01.2014,01.01.2014,73.5,1940.4,19.404,24.6,649.44,6.4944,0.3,7.92,0.0792,1.4,36.96,0.3696,419,23,79.7,34.1,7.92,0.0792,0.3,2640,179,6.1
Bonstetten,Bonstetten,01.01.2015,01.01.2015,71.4,1904.238,19.04238,26.5,706.755,7.06755,0.4,10.668,0.10668,1.5,40.005,0.40005,426,25,80.7,36.6,5.334,0.05334,0.2,2667,193,5.3
Bonstetten,Bonstetten,01.01.2016,01.01.2016,70.7,1930.817,19.30817,26.6,726.446,7.26446,0.6,16.386,0.16386,1.8,49.158,0.49158,430,26,80.8,36.1,10.924,0.10924,0.4,2731,192,4.6
Bonstetten,Bonstetten,01.01.2017,01.01.2017,69.4,1890.456,18.90456,27.7,754.548,7.54548,0.7,19.068,0.19068,2,54.48,0.5448,459,34,84.7,31.9,8.172,0.08172,0.3,2724,173,4.6
Bonstetten,Bonstetten,01.01.2018,01.01.2018,69.5,1961.29,19.6129,27,761.94,7.6194,0.7,19.754,0.19754,2.4,67.728,0.67728,475,31,86.5,29.5,8.466,0.08466,0.3,2822,162,4.2
Bonstetten,Bonstetten,01.01.2019,01.01.2019,68.1,1914.972,19.14972,27.6,776.112,7.76112,1,28.12,0.2812,2.9,81.548,0.81548,478,25,86.3,33,8.436,0.08436,0.3,2812,183,5
Bonstetten,Bonstetten,01.01.2020,01.01.2020,66.8,1877.748,18.77748,27.7,778.647,7.78647,1.3,36.543,0.36543,3.9,109.629,1.09629,506,35,90.7,23.5,11.244,0.11244,0.4,2811,131,5
Bonstetten,Bonstetten,01.01.2021,01.01.2021,65.6,1850.576,18.50576,26.5,747.565,7.47565,2.6,73.346,0.73346,4.9,138.229,1.38229,527,43,93.9,28,11.284,0.11284,0.4,2821,157,6
Bonstetten,Bonstetten,01.01.2022,01.01.2022,64.7,1820.011,18.20011,25.2,708.876,7.08876,3.6,101.268,1.01268,6.1,171.593,1.71593,542,23,96.2,19.9,11.252,0.11252,0.4,2813,112,5.7
,Bonstetten,,01.01.2023,63.7,1789.97,17.8997,23.5,660.35,6.6035,4.9,137.69,1.3769,7.6,213.56,2.1356,524,27,93.3,23.5,8.43,0.0843,0.3,2810,132,
,Hausen a.A.,,01.01.2002,94.8,1531.02,15.3102,5.2,83.98,0.8398,0,0,0,0,0,0,242,13,78,41.3,0,0,0,1615,128,
,Hausen a.A.,,01.01.2003,94.2,1533.576,15.33576,5.8,94.424,0.94424,0,0,0,0,0,0,247,17,79.4,36.7,0,0,0,1628,114,
,Hausen a.A.,,01.01.2004,92.1,1515.045,15.15045,7.8,128.31,1.2831,0,0,0,0,0,0,253,19,81.7,37.8,1.645,0.01645,0.1,1645,117,
,Hausen a.A.,,01.01.2005,90.1,1536.205,15.36205,9.8,167.09,1.6709,0,0,0,0,0,0,253,20,80.6,33.5,1.705,0.01705,0.1,1705,105,
,Hausen a.A.,,01.01.2006,88.6,1538.096,15.38096,11.3,196.168,1.96168,0,0,0,0.1,1.736,0.01736,257,11,80.2,33.1,1.736,0.01736,0.1,1736,106,
,Hausen a.A.,,01.01.2007,87.8,1576.01,15.7601,11.8,211.81,2.1181,0,0,0,0.2,3.59,0.0359,263,12,80.9,36.9,3.59,0.0359,0.2,1795,120,
,Hausen a.A.,,01.01.2008,86.5,1586.41,15.8641,13.1,240.254,2.40254,0,0,0,0.3,5.502,0.05502,278,15,85.9,34.3,1.834,0.01834,0.1,1834,111,
,Hausen a.A.,,01.01.2009,85,1542.75,15.4275,14.6,264.99,2.6499,0,0,0,0.3,5.445,0.05445,271,19,83.3,31.4,1.815,0.01815,0.1,1815,102,
Hausen a.A.,Hausen a.A.,01.01.2010,01.01.2010,83,1503.13,15.0313,16.1,291.571,2.91571,0.1,1.811,0.01811,0.6,10.866,0.10866,273,19,82.6,33,3.622,0.03622,0.2,1811,109,6.2
Hausen a.A.,Hausen a.A.,01.01.2011,01.01.2011,80.5,1474.76,14.7476,18.5,338.92,3.3892,0.1,1.832,0.01832,0.7,12.824,0.12824,279,17,83,24.1,3.664,0.03664,0.2,1832,81,4.2
Hausen a.A.,Hausen a.A.,01.01.2012,01.01.2012,77.6,1467.416,14.67416,21.1,399.001,3.99001,0.1,1.891,0.01891,1,18.91,0.1891,283,13,84.2,32.7,5.673,0.05673,0.3,1891,110,3.6
Hausen a.A.,Hausen a.A.,01.01.2013,01.01.2013,75.2,1435.568,14.35568,23.2,442.888,4.42888,0.1,1.909,0.01909,1.3,24.817,0.24817,284,15,84.2,35.9,3.818,0.03818,0.2,1909,121,4.7
Hausen a.A.,Hausen a.A.,01.01.2014,01.01.2014,72.9,1433.214,14.33214,25,491.5,4.915,0.4,7.864,0.07864,1.4,27.524,0.27524,318,21,93.1,33.4,5.898,0.05898,0.3,1966,114,4.3
Hausen a.A.,Hausen a.A.,01.01.2015,01.01.2015,69.8,1394.604,13.94604,27.9,557.442,5.57442,0.6,11.988,0.11988,1.5,29.97,0.2997,318,12,91.7,38.1,5.994,0.05994,0.3,1998,132,5.8
Hausen a.A.,Hausen a.A.,01.01.2016,01.01.2016,69,1395.87,13.9587,28.4,574.532,5.74532,0.6,12.138,0.12138,1.6,32.368,0.32368,331,22,95.2,34.2,6.069,0.06069,0.3,2023,119,5.3
Hausen a.A.,Hausen a.A.,01.01.2017,01.01.2017,68.3,1428.153,14.28153,28.7,600.117,6.00117,0.8,16.728,0.16728,1.9,39.729,0.39729,334,19,93.9,30.4,6.273,0.06273,0.3,2091,108,4.1
Hausen a.A.,Hausen a.A.,01.01.2018,01.01.2018,67.8,1436.004,14.36004,29.1,616.338,6.16338,1,21.18,0.2118,1.8,38.124,0.38124,335,8,91.9,31.8,6.354,0.06354,0.3,2118,116,3.8
Hausen a.A.,Hausen a.A.,01.01.2019,01.01.2019,67.1,1411.113,14.11113,29,609.87,6.0987,1.2,25.236,0.25236,2.4,50.472,0.50472,365,18,98.8,26.8,4.206,0.04206,0.2,2103,99,6.9
Hausen a.A.,Hausen a.A.,01.01.2020,01.01.2020,66.5,1422.435,14.22435,28.8,616.032,6.16032,1.6,34.224,0.34224,2.9,62.031,0.62031,373,20,99.5,24,4.278,0.04278,0.2,2139,90,5.5
Hausen a.A.,Hausen a.A.,01.01.2021,01.01.2021,65,1409.2,14.092,28.4,615.712,6.15712,2.1,45.528,0.45528,4.3,93.224,0.93224,396,25,104.3,26.1,4.336,0.04336,0.2,2168,99,4.9
Hausen a.A.,Hausen a.A.,01.01.2022,01.01.2022,63.2,1399.88,13.9988,26.9,595.835,5.95835,3.7,81.955,0.81955,6,132.9,1.329,399,24,103.6,20.8,6.645,0.06645,0.3,2215,80,5.9
,Hausen a.A.,,01.01.2023,60.5,1363.065,13.63065,26.4,594.792,5.94792,5,112.65,1.1265,7.8,175.734,1.75734,405,19,104.6,27.9,4.506,0.04506,0.2,2253,108,
,Hedingen,,01.01.2002,96.4,1406.476,14.06476,3.6,52.524,0.52524,0,0,0,0,0,0,210,14,68.4,30.3,0,0,0,1459,93,
,Hedingen,,01.01.2003,95.1,1363.734,13.63734,4.9,70.266,0.70266,0,0,0,0,0,0,213,15,69.3,24.4,0,0,0,1434,75,
,Hedingen,,01.01.2004,94.2,1393.218,13.93218,5.6,82.824,0.82824,0,0,0,0,0,0,220,20,71.9,28.4,2.958,0.02958,0.2,1479,87,
,Hedingen,,01.01.2005,92.8,1401.28,14.0128,7,105.7,1.057,0,0,0,0,0,0,226,17,72.7,26.7,3.02,0.0302,0.2,1510,83,
,Hedingen,,01.01.2006,90.9,1454.4,14.544,8.7,139.2,1.392,0,0,0,0.3,4.8,0.048,241,17,75.7,27.7,1.6,0.016,0.1,1600,88,
,Hedingen,,01.01.2007,88.4,1455.948,14.55948,10.7,176.229,1.76229,0,0,0,0.8,13.176,0.13176,244,21,73.9,38.5,1.647,0.01647,0.1,1647,127,
,Hedingen,,01.01.2008,86.8,1447.824,14.47824,12,200.16,2.0016,0,0,0,1,16.68,0.1668,246,17,74.1,30.7,3.336,0.03336,0.2,1668,102,
,Hedingen,,01.01.2009,85,1439.9,14.399,13.5,228.69,2.2869,0,0,0,1.1,18.634,0.18634,259,24,76.2,22.9,6.776,0.06776,0.4,1694,78,
Hedingen,Hedingen,01.01.2010,01.01.2010,82.8,1402.632,14.02632,15.7,265.958,2.65958,0,0,0,1.1,18.634,0.18634,258,17,75.8,29.7,6.776,0.06776,0.4,1694,101,5.9
Hedingen,Hedingen,01.01.2011,01.01.2011,80.9,1406.042,14.06042,17.4,302.412,3.02412,0,0,0,1.3,22.594,0.22594,260,19,76.3,34,6.952,0.06952,0.4,1738,116,4.9
Hedingen,Hedingen,01.01.2012,01.01.2012,78.6,1422.66,14.2266,19.7,356.57,3.5657,0,0,0,1.2,21.72,0.2172,273,21,78.8,31.5,7.24,0.0724,0.4,1810,109,3.4
Hedingen,Hedingen,01.01.2013,01.01.2013,75.2,1388.944,13.88944,23,424.81,4.2481,0,0,0,1.4,25.858,0.25858,274,13,78.2,32.2,7.388,0.07388,0.4,1847,113,3.1
Hedingen,Hedingen,01.01.2014,01.01.2014,73.1,1370.625,13.70625,24.9,466.875,4.66875,0.1,1.875,0.01875,1.6,30,0.3,265,22,73.9,33.8,7.5,0.075,0.4,1875,121,6.3
Hedingen,Hedingen,01.01.2015,01.01.2015,71.2,1355.648,13.55648,26.3,500.752,5.00752,0.5,9.52,0.0952,1.6,30.464,0.30464,288,23,79,33.2,7.616,0.07616,0.4,1904,121,6.3
Hedingen,Hedingen,01.01.2016,01.01.2016,69.3,1338.183,13.38183,27.9,538.749,5.38749,0.5,9.655,0.09655,1.7,32.827,0.32827,292,18,79.9,33.9,11.586,0.11586,0.6,1931,124,3.5
Hedingen,Hedingen,01.01.2017,01.01.2017,67.8,1301.082,13.01082,29.3,562.267,5.62267,0.7,13.433,0.13433,1.7,32.623,0.32623,298,24,81.3,28.4,9.595,0.09595,0.5,1919,104,6
Hedingen,Hedingen,01.01.2018,01.01.2018,66.7,1282.641,12.82641,29.3,563.439,5.63439,1.1,21.153,0.21153,2.2,42.306,0.42306,321,29,87.3,31.5,11.538,0.11538,0.6,1923,116,5.6
Hedingen,Hedingen,01.01.2019,01.01.2019,65.8,1272.572,12.72572,29.4,568.596,5.68596,1.6,30.944,0.30944,2.5,48.35,0.4835,317,20,85,32.7,13.538,0.13538,0.7,1934,122,5.8
Hedingen,Hedingen,01.01.2020,01.01.2020,64.6,1259.054,12.59054,29.6,576.904,5.76904,2.2,42.878,0.42878,3,58.47,0.5847,298,16,78.9,31,11.694,0.11694,0.6,1949,117,4.5
Hedingen,Hedingen,01.01.2021,01.01.2021,63.2,1244.408,12.44408,28.3,557.227,5.57227,2.9,57.101,0.57101,5,98.45,0.9845,308,35,81.2,23.7,13.783,0.13783,0.7,1969,90,3.2
Hedingen,Hedingen,01.01.2022,01.01.2022,61.9,1223.144,12.23144,27.1,535.496,5.35496,3.9,77.064,0.77064,6.5,128.44,1.2844,318,24,84.2,19.1,11.856,0.11856,0.6,1976,72,4.9
,Hedingen,,01.01.2023,59.5,1186.43,11.8643,26.7,532.398,5.32398,4.9,97.706,0.97706,8.5,169.49,1.6949,343,23,88.8,18.9,9.97,0.0997,0.5,1994,73,
,Kappel a.A.,,01.01.2002,92.6,409.292,4.09292,7.4,32.708,0.32708,0,0,0,0,0,0,74,4,84.3,37.6,0,0,0,442,33,
,Kappel a.A.,,01.01.2003,91.1,389.908,3.89908,8.9,38.092,0.38092,0,0,0,0,0,0,74,5,84.6,27.4,0,0,0,428,24,
,Kappel a.A.,,01.01.2004,90.2,391.468,3.91468,9.8,42.532,0.42532,0,0,0,0,0,0,76,9,85.3,26.9,0,0,0,434,24,
,Kappel a.A.,,01.01.2005,89.5,391.115,3.91115,10.5,45.885,0.45885,0,0,0,0,0,0,73,6,84.7,27.8,0,0,0,437,24,
,Kappel a.A.,,01.01.2006,89.1,405.405,4.05405,10.4,47.32,0.4732,0,0,0,0.2,0.91,0.0091,77,5,91,29.6,0.91,0.0091,0.2,455,25,
,Kappel a.A.,,01.01.2007,88.1,404.379,4.04379,11.5,52.785,0.52785,0,0,0,0.2,0.918,0.00918,81,3,94.6,32.7,0.918,0.00918,0.2,459,28,
,Kappel a.A.,,01.01.2008,86.3,383.172,3.83172,13.2,58.608,0.58608,0,0,0,0.2,0.888,0.00888,94,8,111.1,28.4,0.888,0.00888,0.2,444,24,
,Kappel a.A.,,01.01.2009,85.7,398.505,3.98505,13.7,63.705,0.63705,0,0,0,0.2,0.93,0.0093,94,3,109,25.5,1.86,0.0186,0.4,465,22,
Kappel a.A.,Kappel a.A.,01.01.2010,01.01.2010,81.5,394.46,3.9446,17.3,83.732,0.83732,0,0,0,0.4,1.936,0.01936,82,3,93,45.4,3.872,0.03872,0.8,484,40,6.5
Kappel a.A.,Kappel a.A.,01.01.2011,01.01.2011,80.4,403.608,4.03608,18.2,91.364,0.91364,0,0,0,0.4,2.008,0.02008,82,8,89.3,19.6,5.02,0.0502,1,502,18,9.5
Kappel a.A.,Kappel a.A.,01.01.2012,01.01.2012,77.9,410.533,4.10533,21,110.67,1.1067,0,0,0,0.4,2.108,0.02108,87,2,91.4,38.9,4.216,0.04216,0.8,527,37,10.8
Kappel a.A.,Kappel a.A.,01.01.2013,01.01.2013,75.3,404.361,4.04361,23.4,125.658,1.25658,0,0,0,0.4,2.148,0.02148,84,3,91.1,34.7,4.833,0.04833,0.9,537,32,9.4
Kappel a.A.,Kappel a.A.,01.01.2014,01.01.2014,73.4,415.444,4.15444,25.4,143.764,1.43764,0,0,0,0.4,2.264,0.02264,100,11,104.7,31.4,5.094,0.05094,0.9,566,30,1
Kappel a.A.,Kappel a.A.,01.01.2015,01.01.2015,69.6,406.464,4.06464,29.2,170.528,1.70528,0,0,0,0.3,1.752,0.01752,99,5,97.6,38.5,5.256,0.05256,0.9,584,39,4.9
Kappel a.A.,Kappel a.A.,01.01.2016,01.01.2016,66.6,395.604,3.95604,32.3,191.862,1.91862,0.2,1.188,0.01188,0.2,1.188,0.01188,101,6,98.2,35,4.752,0.04752,0.8,594,36,2.7
Kappel a.A.,Kappel a.A.,01.01.2017,01.01.2017,65,408.2,4.082,32.9,206.612,2.06612,0.3,1.884,0.01884,0.8,5.024,0.05024,109,7,98.2,34.2,6.28,0.0628,1,628,38,7.1
Kappel a.A.,Kappel a.A.,01.01.2018,01.01.2018,66.2,417.06,4.1706,31.5,198.45,1.9845,0.5,3.15,0.0315,1.1,6.93,0.0693,118,6,105,27.6,3.78,0.0378,0.6,630,31,5.2
Kappel a.A.,Kappel a.A.,01.01.2019,01.01.2019,64.7,419.256,4.19256,32,207.36,2.0736,0.6,3.888,0.03888,1.9,12.312,0.12312,121,8,104.5,31.1,5.184,0.05184,0.8,648,36,4.9
Kappel a.A.,Kappel a.A.,01.01.2020,01.01.2020,65.6,449.36,4.4936,30.6,209.61,2.0961,0.7,4.795,0.04795,2.5,17.125,0.17125,127,6,104,19.7,4.11,0.0411,0.6,685,24,3.2
Kappel a.A.,Kappel a.A.,01.01.2021,01.01.2021,62.3,427.378,4.27378,32.2,220.892,2.20892,1.5,10.29,0.1029,3.7,25.382,0.25382,125,5,100.5,21.7,2.744,0.02744,0.4,686,27,3.9
Kappel a.A.,Kappel a.A.,01.01.2022,01.01.2022,60.2,418.992,4.18992,30.5,212.28,2.1228,3.3,22.968,0.22968,5.6,38.976,0.38976,122,9,94.8,21.8,2.088,0.02088,0.3,696,28,1.5
,Kappel a.A.,,01.01.2023,59,418.31,4.1831,30.1,213.409,2.13409,4.7,33.323,0.33323,5.9,41.831,0.41831,133,6,100.7,21.2,2.127,0.02127,0.3,709,28,
,Knonau,,01.01.2002,94.8,644.64,6.4464,5.2,35.36,0.3536,0,0,0,0,0,0,106,4,71.7,36.5,0,0,0,680,54,
,Knonau,,01.01.2003,92.1,645.621,6.45621,7.9,55.379,0.55379,0,0,0,0,0,0,114,8,76.2,36.1,0,0,0,701,54,
