GEBIET_NAME,INDIKATOR_NAME,INDIKATOR_JAHR,INDIKATOR_VALUE
Bonstetten,Gemeindebeitrag an ZVV [Fr./Einw.],2007,38
Bonstetten,Gemeindebeitrag an ZVV [Fr./Einw.],2008,43
Bonstetten,Gemeindebeitrag an ZVV [Fr./Einw.],2009,57
Bonstetten,Gemeindebeitrag an ZVV [Fr./Einw.],2010,58
Bonstetten,Gemeindebeitrag an ZVV [Fr./Einw.],2011,58
Bonstetten,Gemeindebeitrag an ZVV [Fr./Einw.],2012,59
Bonstetten,Gemeindebeitrag an ZVV [Fr./Einw.],2013,57
Bonstetten,Gemeindebeitrag an ZVV [Fr./Einw.],2014,59
Bonstetten,Gemeindebeitrag an ZVV [Fr./Einw.],2015,60
Bonstetten,Gemeindebeitrag an ZVV [Fr./Einw.],2016,61
Bonstetten,Gemeindebeitrag an ZVV [Fr./Einw.],2017,55
Bonstetten,Gemeindebeitrag an ZVV [Fr./Einw.],2018,55
Bonstetten,Gemeindebeitrag an ZVV [Fr./Einw.],2019,51
Bonstetten,Gemeindebeitrag an ZVV [Fr./Einw.],2020,62
Bonstetten,Gemeindebeitrag an ZVV [Fr./Einw.],2021,71
Hausen a.A.,Gemeindebeitrag an ZVV [Fr./Einw.],1994,51
Hausen a.A.,Gemeindebeitrag an ZVV [Fr./Einw.],1995,50
Hausen a.A.,Gemeindebeitrag an ZVV [Fr./Einw.],1996,55
Hausen a.A.,Gemeindebeitrag an ZVV [Fr./Einw.],1997,53
Hausen a.A.,Gemeindebeitrag an ZVV [Fr./Einw.],1998,49
Hausen a.A.,Gemeindebeitrag an ZVV [Fr./Einw.],1999,45
Hausen a.A.,Gemeindebeitrag an ZVV [Fr./Einw.],2000,37
Hausen a.A.,Gemeindebeitrag an ZVV [Fr./Einw.],2001,37
Hausen a.A.,Gemeindebeitrag an ZVV [Fr./Einw.],2002,35
Hausen a.A.,Gemeindebeitrag an ZVV [Fr./Einw.],2003,43
Hausen a.A.,Gemeindebeitrag an ZVV [Fr./Einw.],2004,44
Hausen a.A.,Gemeindebeitrag an ZVV [Fr./Einw.],2005,43
Hausen a.A.,Gemeindebeitrag an ZVV [Fr./Einw.],2006,43
Hausen a.A.,Gemeindebeitrag an ZVV [Fr./Einw.],2007,38
Hausen a.A.,Gemeindebeitrag an ZVV [Fr./Einw.],2008,45
Hausen a.A.,Gemeindebeitrag an ZVV [Fr./Einw.],2009,52
Hausen a.A.,Gemeindebeitrag an ZVV [Fr./Einw.],2010,54
Hausen a.A.,Gemeindebeitrag an ZVV [Fr./Einw.],2011,51
Hausen a.A.,Gemeindebeitrag an ZVV [Fr./Einw.],2012,52
Hausen a.A.,Gemeindebeitrag an ZVV [Fr./Einw.],2013,50
Hausen a.A.,Gemeindebeitrag an ZVV [Fr./Einw.],2014,52
Hausen a.A.,Gemeindebeitrag an ZVV [Fr./Einw.],2015,52
Hausen a.A.,Gemeindebeitrag an ZVV [Fr./Einw.],2016,53
Hausen a.A.,Gemeindebeitrag an ZVV [Fr./Einw.],2017,47
Hausen a.A.,Gemeindebeitrag an ZVV [Fr./Einw.],2018,46
Hausen a.A.,Gemeindebeitrag an ZVV [Fr./Einw.],2019,40
Hausen a.A.,Gemeindebeitrag an ZVV [Fr./Einw.],2020,48
Hausen a.A.,Gemeindebeitrag an ZVV [Fr./Einw.],2021,54
Hedingen,Gemeindebeitrag an ZVV [Fr./Einw.],1994,65
Hedingen,Gemeindebeitrag an ZVV [Fr./Einw.],1995,61
Hedingen,Gemeindebeitrag an ZVV [Fr./Einw.],1996,75
Hedingen,Gemeindebeitrag an ZVV [Fr./Einw.],1997,71
Hedingen,Gemeindebeitrag an ZVV [Fr./Einw.],1998,67
Hedingen,Gemeindebeitrag an ZVV [Fr./Einw.],1999,59
Hedingen,Gemeindebeitrag an ZVV [Fr./Einw.],2000,56
Hedingen,Gemeindebeitrag an ZVV [Fr./Einw.],2001,55
Hedingen,Gemeindebeitrag an ZVV [Fr./Einw.],2002,52
Hedingen,Gemeindebeitrag an ZVV [Fr./Einw.],2003,57
Hedingen,Gemeindebeitrag an ZVV [Fr./Einw.],2004,58
Hedingen,Gemeindebeitrag an ZVV [Fr./Einw.],2005,54
Hedingen,Gemeindebeitrag an ZVV [Fr./Einw.],2006,54
Hedingen,Gemeindebeitrag an ZVV [Fr./Einw.],2007,50
Hedingen,Gemeindebeitrag an ZVV [Fr./Einw.],2008,57
Hedingen,Gemeindebeitrag an ZVV [Fr./Einw.],2009,74
Hedingen,Gemeindebeitrag an ZVV [Fr./Einw.],2010,77
Hedingen,Gemeindebeitrag an ZVV [Fr./Einw.],2011,77
Hedingen,Gemeindebeitrag an ZVV [Fr./Einw.],2012,78
Hedingen,Gemeindebeitrag an ZVV [Fr./Einw.],2013,74
Hedingen,Gemeindebeitrag an ZVV [Fr./Einw.],2014,71
Hedingen,Gemeindebeitrag an ZVV [Fr./Einw.],2015,71
Hedingen,Gemeindebeitrag an ZVV [Fr./Einw.],2016,72
Hedingen,Gemeindebeitrag an ZVV [Fr./Einw.],2017,70
Hedingen,Gemeindebeitrag an ZVV [Fr./Einw.],2018,70
Hedingen,Gemeindebeitrag an ZVV [Fr./Einw.],2019,65
Hedingen,Gemeindebeitrag an ZVV [Fr./Einw.],2020,78
Hedingen,Gemeindebeitrag an ZVV [Fr./Einw.],2021,90
Kappel a.A.,Gemeindebeitrag an ZVV [Fr./Einw.],1994,50
Kappel a.A.,Gemeindebeitrag an ZVV [Fr./Einw.],1995,50
Kappel a.A.,Gemeindebeitrag an ZVV [Fr./Einw.],1996,56
Kappel a.A.,Gemeindebeitrag an ZVV [Fr./Einw.],1997,53
Kappel a.A.,Gemeindebeitrag an ZVV [Fr./Einw.],1998,50
Kappel a.A.,Gemeindebeitrag an ZVV [Fr./Einw.],1999,45
Kappel a.A.,Gemeindebeitrag an ZVV [Fr./Einw.],2000,43
Kappel a.A.,Gemeindebeitrag an ZVV [Fr./Einw.],2001,43
Kappel a.A.,Gemeindebeitrag an ZVV [Fr./Einw.],2002,37
Kappel a.A.,Gemeindebeitrag an ZVV [Fr./Einw.],2003,41
Kappel a.A.,Gemeindebeitrag an ZVV [Fr./Einw.],2004,40
Kappel a.A.,Gemeindebeitrag an ZVV [Fr./Einw.],2005,44
Kappel a.A.,Gemeindebeitrag an ZVV [Fr./Einw.],2006,46
Kappel a.A.,Gemeindebeitrag an ZVV [Fr./Einw.],2007,42
Kappel a.A.,Gemeindebeitrag an ZVV [Fr./Einw.],2008,49
Kappel a.A.,Gemeindebeitrag an ZVV [Fr./Einw.],2009,49
Kappel a.A.,Gemeindebeitrag an ZVV [Fr./Einw.],2010,50
Kappel a.A.,Gemeindebeitrag an ZVV [Fr./Einw.],2011,47
Kappel a.A.,Gemeindebeitrag an ZVV [Fr./Einw.],2012,48
Kappel a.A.,Gemeindebeitrag an ZVV [Fr./Einw.],2013,47
Kappel a.A.,Gemeindebeitrag an ZVV [Fr./Einw.],2014,47
Kappel a.A.,Gemeindebeitrag an ZVV [Fr./Einw.],2015,45
Kappel a.A.,Gemeindebeitrag an ZVV [Fr./Einw.],2016,45
Kappel a.A.,Gemeindebeitrag an ZVV [Fr./Einw.],2017,41
Kappel a.A.,Gemeindebeitrag an ZVV [Fr./Einw.],2018,41
Kappel a.A.,Gemeindebeitrag an ZVV [Fr./Einw.],2019,38
Kappel a.A.,Gemeindebeitrag an ZVV [Fr./Einw.],2020,45
Kappel a.A.,Gemeindebeitrag an ZVV [Fr./Einw.],2021,51
Knonau,Gemeindebeitrag an ZVV [Fr./Einw.],1994,68
Knonau,Gemeindebeitrag an ZVV [Fr./Einw.],1995,66
